Question,Ground_Truth
Edward Mills Purcell đã dạy ở trường đại học nào?,Đại Học Purdue
"Ai là tác giả của tác phẩm ""Tân Kinh""?",Tân Kinh
"Đây là câu hỏi tương ứng: ""Elizabeth Blackburn đã nhận được giải thưởng nào cho nghiên cứu y học cơ bản?""",Giải Albert Lasker Cho Nghiên Cứu Y Học Cơ Bản
Edwin McMillan làm việc ở đâu?,Đại Học California Tại Berkeley
"Elizabeth Blackburn đã nhận được giải thưởng nào từ tổ chức Alfred P. Sloan, Jr?","Giải Alfred P. Sloan, Jr"
Quốc tịch của Edward Victor Appleton là gì?,Vương Quốc Liên Hiệp Anh Và Bắc Ireland
Đâu là thành phố sinh của Daniel Kahneman?,Tel Aviv
"Earl Wilbur Sutherland, Jr làm việc tại đâu?",/Đại Học Vanderbilt
Dmitry Muratov sinh ở đâu?,"Samara, Nga"
Năm nào Elias James Corey đã được trao Giải thưởng?,1989
Ai là người được hướng dẫn luận án tiến sĩ bởi Dudley R. Herschbach?,/Edgar Bright Wilson
Derek Walcott đã đạt được giải thưởng nổi bật nào trong lĩnh vực văn học?,Giải Nobel Văn Học
Năm nào Elias James Corey đã đoạt giải thưởng?,1988
Quốc tịch của Derek Barton là gì?,Anh
Edward Condon làm việc tại đâu?,/Đại Học Colorado Boulder
Bạn biết Trường lớp nào Copernicus đã học trước khi nhập học tại đâu không?,/Đại Học Ferrara
Ai là người đã sinh ra Derek Barton?,Anh
Dennis Gabor làm việc ở đâu?,/Imperial College London
Dorothy Hodgkin học tại trường lớp nào trước khi vào Đại Học Cambridge?,Đại Học Cambridge
Dag Hammarskjöld qua đời trong một tai nạn máy bay khi đang trên đường tới nước nào?,Liên Bang Rhodesia Và Nyasaland
"Năm nào Earl Wilbur Sutherland, Jr sinh ra?",1915
Ngày nào Edward Mills Purcell sinh?,30 Tháng 8
Dennis Gabor làm việc tại công ty nào?,/British Thomson-Houston
"Ai là người được nhắc đến trong Triple ""David MacMillan - Các nghiên cứu sinh nổi tiếng - /Tristan Lambert""?",/Tristan Lambert
David Julius sinh ở đâu?,/Brighton Beach
Quốc gia nào là quê hương của Daniel Kahneman?,Israel
Ai là người được nhắc đến trong Triple Elias James Corey - Các nghiên cứu sinh nổi tiếng - /William L. Jorgensen?,/William L. Jorgensen
Ai là người nghiên cứu được liên kết với Ernest Rutherford trong lĩnh vực khoa học?,/Mark Oliphant
Nơi sinh của Edwin G. Krebs là ở đâu?,Iowa
Trường đại học nào mà Cyril Norman Hinshelwood từng học tại?,Đại Học Oxford
Ai là người hướng dẫn luận án tiến sĩ của Dorothy Hodgkin?,/JD Bernal
Ai là người tiếp theo trong chuỗi Triple: Edward Victor Appleton - Các sinh viên nổi tiếng - ?,/J. A. Ratcliffe
Ai là người nghiên cứu sinh nổi tiếng liên quan đến Ernest Lawrence?,Ngô Kiện Hùng
Czesław Miłosz đã giành được giải thưởng nổi bật nào trong lĩnh vực văn học?,Giải Nobel Văn Học
Edward Teller sinh ở quốc gia nào?,Áo-Hung
David MacMillan có học vị gì?,/Tiến Sĩ Triết Học
Desmond Tutu sinh ở quốc gia nào?,Nam Phi
"Ai là người được đề cử cùng với Elias James Corey trong danh sách ""Các nghiên cứu sinh nổi tiếng""?",/Hisashi Yamamoto
Bạn có biết trường đại học nào mà Dudley R. Herschbach từng giảng dạy không?,Đại Học Harvard
Nơi sinh của Donald A. Glaser là ở đâu?,"Cleveland, Ohio"
Edward Teller đã nhận được giải thưởng nào từ chính phủ Mỹ?,National Medal Of Science
Nơi sinh của David J. Wineland là ở đâu?,Milwaukee
Emil Fischer được công nhận tại nơi công tác nào vào năm nào?,1881
Ai là nhà tâm lý học nổi tiếng nghiên cứu về hiện tượng phối ngẫu?,/Anne Treisman
Craig Mello đã nhận được giải thưởng nào?,Giải Quốc Tế Quỹ Gairdner
Nơi Donald A. Glaser công tác là đâu?,Đại Học Michigan
Cuối cùng của tháng nào Eric Maskin sinh?,12 Tháng 12
Quốc tịch của Craig Mello là gì?,United States
Ở đâu Czesław Miłosz đã mất?,Kraków
Edward Teller làm việc ở đâu?,/University College London
Daniel Kahneman làm việc tại đâu?,/Trung Tâm Nghiên Cứu Cấp Cao Về Khoa Học Hành Vi
Eric Allin Cornell sinh ở đâu?,Hoa Kỳ
David MacMillan đã đoạt giải thưởng nào trong lĩnh vực hóa học?,Giải Nobel Hóa Học
Ngày nào Donald A. Glaser sinh?,21 Tháng 9
"Derek Walcott đã từng giành giải thưởng nào trong danh sách sau: ""/Giải T. S. Eliot""?",/Giải T. S. Eliot
"Ai là người nghiên cứu sinh nổi tiếng được đề cử trong Triple ""David MacMillan - Các nghiên cứu sinh nổi tiếng - /Tehshik Yoon""?",/Tehshik Yoon
Emilio G. Segrè sinh ở đâu?,Ý
Ai là người hướng dẫn luận án tiến sĩ của David MacMillan?,Không có người hướng dẫn tiến sĩ
Ngày nào Czesław Miłosz sinh?,30 Tháng 6
Ai là người hướng dẫn luận án tiến sĩ của Edward Mills Purcell?,/John Van Vleck
Daniel Kahneman nơi công tác ở đâu?,Đại Học Princeton
Emil Fischer học ở trường nào?,/Đại Học Strasburg
Năm sinh của Elias James Corey là năm nào?,1928
Emmanuelle Charpentier đã nhận được giải thưởng nào trong lĩnh vực Khoa học Sinh học?,/Breakthrough Prize In Life Sciences
David Julius đã đạt được thành tựu gì nổi bật trong lĩnh vực nào?,Giải Nobel Sinh Lý Học Hoặc Y Học
Ai là người hướng dẫn luận án tiến sĩ của Emil Fischer?,Không có người hướng dẫn tiến sĩ
Edward Condon qua đời ở đâu?,"Boulder, Colorado"
Ai là người hướng dẫn luận án tiến sĩ của Daniel Kahneman?,/Susan M. Ervin-Tripp
Đâu là trường đại học mà Donna Strickland là giáo sư?,McMaster University
Ai đã được trao Giải Nobel Hóa Học?,Giải Nobel Hóa Học
Nơi ông Donald A. Glaser mất là ở đâu?,California
Emil Fischer mất ở thành phố nào?,Berlin
Doris Lessing đã đạt được giải thưởng nổi bật nào trong lĩnh vực văn học?,Giải Nobel Văn Học
Edward Teller làm việc tại đâu?,/Viện Công Nghệ Florida
Trường đại học nào mà Ei-Ichi Negishi giảng dạy?,Đại Học Pennsylvania
Quốc tịch của Edward Mills Purcell là gì?,Hoa Kỳ
Ai là người được Daniel McFadden hướng dẫn luận án tiến sĩ?,Leonid Hurwicz
Trường nào mà Eric Betzig đã tốt nghiệp để sau này anh trở thành một nhà khoa học nổi tiếng?,Viện Công Nghệ California
Ở đâu Edward Condon sinh ra?,"Alamogordo, New Mexico"
Donald J. Cram làm việc tại công ty nào?,/Merck & Co
Quốc tịch của Edward Mills Purcell là gì?,Hoa Kỳ
Edward Teller đã học tại trường lớp nào?,/University Of Leipzig
Daniel Nathans đã đoạt giải thưởng nào?,Giải Sinh Học Phân Tử Của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Ernest Lawrence đã đạt được bằng cấp học vị nào?,Doctor Of Philosophy
Ai là người đã sinh ra Ei-Ichi Negishi?,Mãn Châu Quốc
Nơi nào Copernicus đã qua đời?,Frombork
Năm nào Dorothy Hodgkin nhận Giải thưởng?,1964
Bạn biết trường đại học nào Dorothy Hodgkin đã theo học không?,"Somerville College, Oxford"
Ai là người nghiên cứu sinh nổi tiếng trong Triple: Emil Fischer - Các nghiên cứu sinh nổi tiếng - /Ludwig Knorr?,/Ludwig Knorr
Donald J. Cram làm việc tại đâu?,Đại Học California Tại Los Angeles
Ở đâu là nơi sinh của Elfriede Jelinek?,Mürzzuschlag
Derek Barton làm việc tại trường đại học nào?,/Imperial College London
Edwin G. Krebs đã đạt được bằng cấp nào?,/Cử Nhân Khoa Học
Donald J. Cram làm việc tại đâu?,Học Viện Công Nghệ Massachusetts
Daniel Kahneman làm việc tại trường đại học nào?,Đại Học British Columbia
"Nơi Earl Wilbur Sutherland, Jr mất là ở đâu?","Miami, Florida"
Ai là người sinh ra Edward Victor Appleton?,Anh
Daniel Kahneman nơi công tác ở đâu?,"Đại Học California, Berkeley"
Eduard Buchner sinh ở đâu?,Đức
Elizabeth Blackburn công tác tại đâu?,Đại Học California Tại San Francisco
David Julius học tại trường lớp nào?,Viện Công Nghệ Massachusetts
Vai trò nào mà Elizabeth Blackburn đóng trong việc hướng dẫn luận án tiến sĩ?,Không có người hướng dẫn tiến sĩ
Eric Allin Cornell làm việc tại đâu?,/Viện Công Nghệ Và Tiêu Chuẩn Quốc Gia
Ai là người hướng dẫn luận án tiến sĩ của Elias James Corey?,/John C. Sheehan
Edward Adelbert Doisy sinh ở tiểu bang nào?,Illinois
Quốc tịch của Dorothy Hodgkin là gì?,Anh
Emil Fischer đoạt giải thưởng nào vào năm nào?,1902
Quốc tịch của Edmund Phelps là gì?,Hoa Kỳ
Craig Mello đã đạt được danh hiệu nào trong lĩnh vực của mình?,Giải Nobel Sinh Lý Học Và Y Khoa
Elie Wiesel sinh ở đâu?,/Kingdom Of Romania
Ai là người được kết nối với Emil Fischer trong lĩnh vực nghiên cứu?,/Oskar Piloty
Daniel Kahneman là người hướng dẫn luận án tiến sĩ hay không?,Không có người hướng dẫn tiến sĩ
Clive Granger làm việc tại đâu?,"Đại Học California, San Diego"
Dmitry Muratov học vị gì?,/Đại Học Nhà Nước Samara
Ai là người thắng giải Nobel Hóa học năm 2001?,/Ryoji Noyori
Edward Calvin Kendall đã được trao giải thưởng nào?,Giải Passano
Ai là nhà thiên văn học nổi tiếng đã sinh ra tại Vương Quốc Ba Lan từ năm 1385 đến 1569?,/Vương Quốc Ba Lan (1385–1569
Ai là người hướng dẫn luận án tiến sĩ của Elias James Corey?,Không có người hướng dẫn tiến sĩ
Trường đại học nào mà Edward C. Prescott đã tham gia giảng dạy?,/Swarthmore College
Ngày nào Dorothy Hodgkin sinh?,12 Tháng 5
Quốc tịch của Daniel Kahneman là gì?,Hoa Kỳ
Nơi nào Donna Strickland công tác?,Đại Học Waterloo
Nơi nào Craig Mello sinh ra?,New Haven
Trường học nào mà Eric Allin Cornell đã tham gia?,Học Viện Công Nghệ Massachusetts
David Julius học tại trường đại học nào?,"Đại Học California, Berkeley"
Dorothy Hodgkin đã nhận được giải thưởng nào trong lĩnh vực Hóa Học?,Giải Nobel Hóa Học
Didier Queloz đã được trao giải thưởng nào trong lĩnh vực Vật Lý?,Giải Wolf Vật Lý
Edward Adelbert Doisy mất tại quốc gia nào?,Hoa Kỳ
Ai là những người đã đoạt giải Nobel trong lĩnh vực Sinh lý học và Y khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ai là người hướng dẫn luận án tiến sĩ của David Card?,/Orley Ashenfelter
Đại học nào mà Daniel McFadden làm việc tại?,Đại Học Nam California
Ai là người phụ nữ nổi tiếng đã từng làm Thủ tướng Anh vào thế kỷ 20?,/Magaret Thatcher
Nơi Edward Condon công tác là đâu?,/Viện Tiêu Chuẩn Và Kỹ Thuật Quốc Gia
Ernest Lawrence làm việc tại đâu?,"Đại Học California, Berkeley"
Edward Teller làm việc tại đâu?,Viện Niels Bohr
Edmund Phelps làm việc ở đâu?,Đại Học Columbia
Edward Victor Appleton là thành viên của tổ chức nào?,Thành Viên Hội Hoàng Gia
Ai đã được trao Huy Chương Elliott Cresson?,/Huy Chương Elliott Cresson
Ai đã được trao Giải Wolf Về Hóa Học?,Giải Wolf Về Hóa Học
Edward Lawrie Tatum sinh ở đâu?,/Boulder
"Nơi sinh của Earl Wilbur Sutherland, Jr là ở đâu?",Kansas
David J. Thouless đã được trao giải thưởng nào?,/Maxwell Medal And Prize
Ai là người hướng dẫn luận án tiến sĩ của Edward Adelbert Doisy?,/Otto Folin
Donald J. Cram đã giảng dạy tại trường đại học nào?,/Rollins College
Doris Lessing sinh ở đâu?,Kermanshah
Ở đâu Daniel Nathans làm việc?,Đại Học Johns Hopkins
Quốc tịch của Douglass North là gì?,Hoa Kỳ
Năm sinh của Donald A. Glaser là bao nhiêu?,1926
Ai đã nhận Huy Chương Priestley?,Huy Chương Priestley
Emil Adolf Von Behring sinh ở đâu?,/Ławice
"Bạn muốn tôi tạo câu hỏi tiếng Việt ngắn mà câu trả lời là ""Http://Oskicat.Berkeley.Edu/Record=B12138684~S1"" phải không?",Http://Oskicat.Berkeley.Edu/Record=B12138684~S1
Nơi công tác của Edward Teller là gì?,/Viện Hoover
Nơi Edwin G. Krebs công tác là đâu?,Đại Học California Tại Davis
Edward Teller đã từng giảng dạy tại trường đại học nào?,/University Of Karlsruhe
Nơi Ei-Ichi Negishi công tác là đâu?,/Đại Học Syracuse
Năm nào Elias James Corey đã giành giải thưởng?,1978
Ai đã được trao Giải Wolf Vật Lý?,Giải Wolf Vật Lý
Edward Mills Purcell đã nhận được giải thưởng nào?,Huy Chương Oersted
Nơi Edward Calvin Kendall sinh là ở đâu?,/South Norwalk
Nơi Elinor Ostrom sinh là thành phố nào?,Los Angeles
Ai là người hướng dẫn tiến sĩ cho Ernest Rutherford?,Không có người hướng dẫn tiến sĩ
Quốc gia nào là quê hương của nhà văn Elfriede Jelinek?,Áo
Corneille Heymans làm việc ở đâu?,/Đại Học Ghent
Elizabeth Blackburn làm việc tại đâu?,Đại Học California Tại Berkeley
Donna Strickland được trao giải thưởng nào?,/OSA Fellow
Edward Condon làm việc tại đâu?,Đại Học Columbia
Elizabeth Blackburn đã nhận giải thưởng nào?,Giải Paul Ehrlich Và Ludwig Darmstaedter
Ei-Ichi Negishi mất ở đâu?,Hoa Kỳ
Đâu là quê hương của Daniel McFadden?,Hoa Kỳ
Emilio G. Segrè sinh ở đâu?,"/Tivoli, Italy"
Daniel McFadden đã được trao giải thưởng nào?,/Giải Kinh Tế Erwin Plein Nemmers
Trường đại học nào mà Dan Shechtman làm việc tại?,/Technion
Nơi Elie Wiesel sinh ra là đâu?,Sighetu Marmației
Nơi Edward Condon công tác là trường đại học nào?,/Đại Học Washington Ở St. Louis
Ai là người nghiên cứu sinh nổi tiếng cùng với Edward Teller?,/Laszlo Tisza
Ở đâu là nơi sinh của Dario Fo?,/Leggiuno-Sangiano
Nơi Elinor Ostrom mất là đâu?,"/Bloomington, Indiana"
Ai đã được trao Giải Vật Chất Ngưng Tụ Oliver E. Buckley?,/Giải Vật Chất Ngưng Tụ Oliver E. Buckley
"Ai là người đã được trao ""Giải Nobel Văn Học""?",Giải Nobel Văn Học
Ai là người nghiên cứu sinh nổi tiếng được đề cử Nobel Hóa học năm 2019?,/Vy Dong
Ai là người được kể đến trong Triple nhưng không phải là Edward Teller?,/Marvin Leonard Goldberger
Năm nào Ernest Rutherford sinh ra?,1871
Dennis Gabor sinh ở đâu?,Vương Quốc Hungary
Ai là người phối ngẫu của Donald A. Glaser?,/Lynn Bercovitz
Ai là người hướng dẫn tiến sĩ của David Julius?,Không có người hướng dẫn tiến sĩ
Ai là nghiên cứu sinh nổi tiếng được đề cử trong Triple với Edward Teller?,/Hans-Peter Dürr
Drew Weissman đã nhận được giải thưởng nào?,/Giải Đột Phá Trong Khoa Học Đời Sống
Quốc tịch của Daniel McFadden là gì?,Hoa Kỳ
Ai đã nhận Huy Chương Và Giải Duddell?,/Huy Chương Và Giải Duddell
Ai không có người hướng dẫn tiến sĩ?,Không có người hướng dẫn tiến sĩ
Trường đại học nào mà Edward Victor Appleton đã tốt nghiệp?,"/Đại Học St John'S, Cambridge"
Thành phố nào Aage Bohr sinh ra?,Copenhagen
Abdus Salam sinh ở quốc gia nào thuộc Anh?,Ấn Độ Thuộc Anh
Ai là người đồng nghiệp nghiên cứu nổi tiếng của Abdus Salam?,/Riazuddin
Albert Abraham Michelson đã nhận được giải thưởng nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Ahmed Zewail đã từng đạt được giải thưởng nào trong lĩnh vực hóa học?,Giải Wolf
Adolf Von Baeyer sinh ở thành phố nào?,Berlin
Hội nào đã trao giải thưởng cho Akira Yoshino?,Institute Of Electrical And Electronics Engineers
Thành phố nào mà Abram Ioffe đã mất tại đó?,Leningrad
Aage Bohr sinh sống ở quốc gia nào?,Đan Mạch
Aaron Klug sinh ở đâu?,Želva
Danh sách người đoạt Giải Nobel Sinh Lý Học Và Y Khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ai là người hướng dẫn luận án tiến sĩ của Alan Turing?,/Alonzo Church
Ai là người đã qua đời tại Cheshire?,Cheshire
Bạn đang làm việc tại trường đại học nào?,/Meijo University
Albert Abraham Michelson mất ở đâu?,"Pasadena, California"
Năm nào Ahmed Zewail đã giành Giải thưởng?,1999
Albert Einstein làm việc tại đâu?,/Viện Kaiser Wilhelm
Ai là những người đoạt giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Alan Turing làm việc tại đâu?,Đại Học Cambridge
Ai là người đoạt giải L'Oréal-UNESCO Cho Phụ Nữ Trong Khoa Học?,Giải L'Oréal-UNESCO Cho Phụ Nữ Trong Khoa Học
Albert Abraham Michelson sinh ở đâu?,Strzelno
Albert Einstein có liên quan đến đâu?,Đế Quốc Đức
Học vị cao nhất của Akira Yoshino là gì?,Thạc Sĩ Khoa Học
Quốc gia nào là quê hương của Aaron Ciechanover?,Palestine
Ai là người hướng dẫn luận án tiến sĩ của Albert Abraham Michelson?,Hermann Helmholtz
Albert Fert làm việc tại đâu?,Trung Tâm Nghiên Cứu Khoa Học Quốc Gia Pháp
Ai là người hướng dẫn tiến sĩ của Alan Turing?,Không có người hướng dẫn tiến sĩ
Adam Riess làm việc ở đâu?,/Viện Khoa Học Kính Thiên Văn Không Gian
Adolf Butenandt làm việc tại đâu?,/Viện Kaiser Wilhelm
Học vị cao nhất mà Abhijit Banerjee đạt được là gì?,Doctor Of Philosophy
Ai là người tiếp tục nghiên cứu và phát triển công trình của Albert Abraham Michelson trong lĩnh vực khoa học?,Robert Millikan
Abram Ioffe sinh ở đâu?,Poltava (Tỉnh Của Đế Quốc Nga
Ai là người đồng sáng lập Phối ngẫu cùng với Abhijit Banerjee?,Esther Duflo
Abhijit Banerjee sinh ở đâu?,Mumbai
Ai là người đồng nghiệp nổi tiếng của Adolf Von Baeyer trong lĩnh vực nghiên cứu?,/Carl Gräbe
Albert Abraham Michelson công tác ở đâu?,/Đại Học Clark
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Ai là người hướng dẫn luận án tiến sĩ của Abhijit Banerjee?,Không có người hướng dẫn tiến sĩ
Nơi Adam Riess sinh ra là đâu?,"Washington, D.C"
Ai là người đồng nghiệp nổi tiếng của Adolf Von Baeyer trong lĩnh vực nghiên cứu?,/Carl Theodore Liebermann
Năm nào Ahmed Zewail đã nhận Giải thưởng?,2006
Albert Einstein từng công tác tại đâu?,Viện Công Nghệ California
Abdus Salam làm việc tại đâu?,/Học Viện Khoa Học Thế Giới
Albert Einstein đã nhận được giải thưởng nào từ Huy Chương Max Planck?,Huy Chương Max Planck
Con cái nào của Albert Einstein là con trai thứ hai của ông?,"Gia Đình Einstein#Eduard ""Tete"" Einstein (Con Trai Thứ Hai Của Einstein"
Ai là người đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Akira Yoshino học vị cao hơn từ trường đại học nào?,Đại Học Osaka
Ai là những người đã đoạt Giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Năm nào Abdus Salam nhận Giải thưởng?,1964
Ai là người được biết đến trong lĩnh vực nghiên cứu với Abram Ioffe và được trao giải Nobel Vật lý?,Nikolay Semyonov
Quốc tịch của nhà hóa học nổi tiếng Adolf Von Baeyer là gì?,Đức
Ai là người đã sinh ra vào thời điểm /Beshasha?,/Beshasha
Quốc gia nào Adolf Butenandt sinh ra?,Đức
Ai là người đã mất trong Triple: Abdus Salam - Mất - Anh?,Anh
Quốc gia nào Adolf Von Baeyer mất?,Đức
Trường đại học nào mà Abhijit Banerjee đã nhận học vị của mình?,Đại Học Calcutta
Ai đã nhận giải thưởng Paul Ehrlich Và Ludwig Darmstaedter?,Giải Paul Ehrlich Và Ludwig Darmstaedter
Albert Schweitzer học chuyên ngành gì tại trường lớp?,Thần Học
Al Gore sinh ở đâu?,Hoa Kỳ
Abdus Salam đã nhận được giải thưởng nào mà có tên là gì?,Huy Chương Matteucci
Albert Einstein đã làm việc tại nơi nào?,Đại Học Princeton
Quốc gia nào Akira Yoshino sinh ra?,Nhật Bản
Albert Einstein làm việc ở đâu?,Đại Học Karl Ở Praha
Ai là người bạn thân nhất của Alan Turing?,/Robin Gandy
Danh sách những người đoạt Giải Nobel Hóa Học bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Albert Einstein đã từng liên quan đến viện nào?,Đại Học Brandeis
Aaron Klug đã mất tại đâu?,Cambridge
Ai là quê hương của Albert Camus?,Dréan
Albert Schweitzer sinh ở đâu?,Kaysersberg
Ai là người hướng dẫn luận án tiến sĩ của Adolf Von Baeyer?,Không có người hướng dẫn tiến sĩ
Ai là người đã có các nghiên cứu nổi tiếng trong lĩnh vực của Abdus Salam?,/Yuval Ne'Eman
Albert Fert là người nước nào?,Pháp
Ai là người hướng dẫn tiến sĩ của Albert Einstein?,Không có người hướng dẫn tiến sĩ
Ai là người đồng nghiệp nghiên cứu của Abdus Salam?,/Robert Delbourgo
Abhijit Banerjee làm việc ở đâu?,Viện Công Nghệ Massachusetts
Ai là đồng nghiệp nghiên cứu nổi tiếng của Abdus Salam?,/Fayyazuddin
Albert Fert đã nhận được giải thưởng nào?,/Huy Chương Vàng Của CNRS
Ai đã từng được trao /Huân Chương Hughes?,/Huân Chương Hughes
Abdus Salam làm việc tại đâu?,Đại Học Cambridge
Alan MacDiarmid mất ở đâu?,/Drexel Hill
Ai là người đã ảnh hưởng đến Albert Einstein?,Hendrik Lorentz
Ai đã giành Giải Khoa Học Thế Giới Albert Einstein?,Giải Khoa Học Thế Giới Albert Einstein
Einstein làm việc ở thành phố nào?,Bern
Albert Einstein làm việc tại đâu?,ETH Zurich
Abdus Salam làm việc tại trường đại học nào?,/Đại Học Punjab
Aage Bohr làm việc ở đâu?,Đại Học Copenhagen
Nơi Albert Einstein công tác là đâu?,Viện Hàn Lâm Khoa Học Phổ
Ngày nào Abdus Salam sinh?,29 Tháng 1
Học vị cao nhất mà Akira Yoshino đạt được là gì?,Master Of Science
Albert Einstein đã đoạt giải thưởng nào trong lĩnh vực của mình?,Giải Nobel Vật Lý
Năm nào Abdus Salam sinh ra?,1926
Abdus Salam làm việc tại đâu?,/Viện Khoa Học Và Công Nghệ Hạt Nhân Pakistan
Ada Yonath đã nhận giải thưởng nào trong lĩnh vực hóa học?,Giải Wolf Về Hóa Học
Albert Einstein mất ở đất nước nào?,Mỹ
Ai là người mà Abdus Salam đã hợp tác trong các nghiên cứu nổi tiếng?,/Faheem Hussain
Albert Einstein đã từng nhận được giải thưởng nào trong lĩnh vực thiên văn học?,Huy Chương Vàng Của Hội Thiên Văn Học Hoàng Gia
Albert Einstein sinh ở đâu?,Vương Quốc Württemberg
Năm nào Albert Fert đã được trao Giải thưởng?,2003
Adolf Von Baeyer làm việc tại đâu?,Đại Học Ludwig Maximilian München
Abdus Salam làm việc tại đâu?,/Thượng Ban Nghiên Cứu Không Gian Và Khí Quyển
Abdus Salam đã nhận được giải thưởng nào?,/Nishan-E-Imtiaz
Alan MacDiarmid sinh ở đâu?,/Masterton
Ahmed Zewail là giáo sư tại trường đại học nào?,/Đại Học Alexandria
Abdulrazak Gurnah sinh ở đâu?,/Sultanate Of Zanzibar
"Những nguyên tắc pháp lý nào được Albert Camus áp dụng trong tác phẩm ""Mất""?",Pháp
Ai đã được trao giải Nobel Vật Lý?,Giải Nobel Vật Lý
Alan Turing mất ở quốc gia nào?,Anh
Ai đã được trao Giải Nobel Văn Chương?,Giải Nobel Văn Chương
Quốc tịch của Alan J. Heeger là gì?,Hoa Kỳ
Albert Szent-Györgyi đã mất ở đâu?,"/Woods Hole, Massachusetts"
Alan J. Heeger là giáo sư tại trường đại học nào?,Đại Học California Tại Berkeley
Abiy Ahmed đã có liên kết với trường đại học nào?,/Microlink Information Technology College
Aage Bohr qua đời ở quốc gia nào?,Đan Mạch
Alan J. Heeger hiện đang công tác tại trường đại học nào?,Đại Học Pennsylvania
Albert Einstein đã được trao giải thưởng nào?,/Viện Sỹ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Abdus Salam làm việc tại đâu?,/Viện Edward Buochet-Abdus Salam
Albert Abraham Michelson làm việc tại đâu?,/Case Western Reserve University
Trang web nào được liên kết với Alan Turing và trường lớp?,Http://Ktdn.Edu.Vn
Albert Einstein đã từng công tác tại đâu?,Đại Học Leiden
Abdus Salam làm việc tại đâu?,"/Đại Học Chính Phủ College, Lahore"
Aaron Klug sinh ở đất nước nào?,Litva
Ở đâu Akira Yoshino sinh ra?,Suita
Ai đã được trao Giải thưởng /Japan Prize?,/Japan Prize
Aage Bohr đã tham gia vào dự án nào liên quan đến năng lượng hạt nhân?,Dự Án Manhattan
Ai là người tiến hành nghiên cứu về Cơ học lượng tử và lý thuyết trường lượng tử với Abdus Salam?,/John Polkinghorne
Albert Einstein đã từng công tác tại đâu?,Đại Học Zurich
Ai là người đồng tác giả với Abhijit Banerjee trong một số nghiên cứu nổi tiếng?,/Dean Karlan
Năm nào Abdus Salam giành Giải thưởng?,1968
Alan J. Heeger đã đạt được giải thưởng nào?,Giải Balzan
Ai đã làm các nghiên cứu nổi tiếng cùng với Abdus Salam?,/Kamaluddin Ahmed
Tên người phụ nữ đã cùng Abhijit Banerjee và các nghiên cứu sinh khác nổi tiếng thành lập tổ chức J-PAL là gì?,Esther Duflo
Einstein làm việc ở đâu?,/Văn Phòng Sáng Chế Thụy Sĩ
Ai là phối ngẫu của Albert Szent-Györgyi?,/Marcia Houston
Adam Riess đạt giải thưởng nào mà không phải là Giải Nobel?,Giải Shaw
Adolf Von Baeyer làm việc tại đâu?,Đại Học Kỹ Thuật Berlin
Quốc tịch của Alan J. Heeger là gì?,Hoa Kỳ
Adolf Butenandt đã từng được trao giải thưởng nào?,/Kriegsverdienstkreuz
Nơi sinh của Alan Greenspan là ở đâu?,Thành Phố New York
Quốc tịch của nhà hóa học nổi tiếng Ahmed Zewail là gì?,Ai Cập
Ahmed Zewail làm việc tại đâu?,Viện Công Nghệ California
Năm nào Ahmed Zewail nhận giải thưởng?,1993
Năm nào Albert Schweitzer mất?,1965
Danh sách người đoạt Giải Nobel Sinh lý học và Y khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Học vị cao nhất mà Akira Yoshino đạt được là gì?,Doctor Of Philosophy
Trường đại học nào mà Albert Abraham Michelson đã từng giảng dạy tại?,Đại Học Humboldt Berlin
Huy chương nào được Ahmed Zewail nhận vào năm 1997?,/Huy Chương Franklin
Ai là quốc gia mà Abram Ioffe mất trong thời kỳ đầu thế kỷ 20?,Xô Viết
Abdus Salam đã nhận được giải thưởng nào từ Pakistan?,/Sitara-E-Pakistan
Abdus Salam sinh ở tỉnh nào?,Punjab
Albert Abraham Michelson làm việc tại đâu?,Đại Học Chicago
Ai là người hướng dẫn luận án tiến sĩ của Albert Einstein?,Alfred Kleiner
Alan MacDiarmid sinh vào ngày nào?,14 Tháng 4
Albert Einstein đã có ảnh hưởng lớn đến lĩnh vực nào trong khoa học?,Vật Lý Hiện Đại
Quốc gia nào là quê hương của Abram Ioffe?,Ukraina
Nơi công tác của Akira Yoshino là đâu?,/Asahi Kasei
Quốc tịch của Adolf Butenandt là gì?,Đức
Abdus Salam làm việc tại đâu?,/Ủy Ban Khoa Học Và Công Nghệ Phát Triển Bền Vững Miền Nam Pakistan
Albert Einstein được trao giải thưởng nào?,/ForMemRS
